id,name,link,price,city,date,seller_name
6114188,Dell notebook alkatrész SZ ZS,https://hardverapro.hu/apro/dell_notebook_alkatresz/hsz_1-50.html,20 000 Ft,XIV. kerület, 2023-06-18 16:15,Zsolt197
6502860,4 magos extra vékony Samsung notebook 128 GB SSD-vel!,https://hardverapro.hu/apro/4_magos_extra_vekony_samsung_notebook_128_gb_ssd-v_2/hsz_1-50.html,36 555 Ft,V. kerület, 2024-04-02 11:11,parlamentpc
5557703,"Eladó egész sok Dell laptop billentyűzet Latitude, Precision, XPS",https://hardverapro.hu/apro/elado_egesz_sok_dell_laptop_billentyuzet_latitude/hsz_1-50.html,3 000 Ft,Budapest, 2022-04-26 13:01,somasz
6506921,"Remek áron eladó új Microsoft Surface Laptop 4 garanciával! AMD Ryzen 5 /8 GB /256 SSD/TOUCH/13.5""/",https://hardverapro.hu/apro/remek_aron_elado_uj_microsoft_surface_laptop_4_gar/hsz_1-50.html,210 000 Ft,"Budapest, ...", 2024-04-05 11:37,csakneked
6384203,"Új Dell Latitude 7330: i5-1245U/16GB DDR4/512GB NVMe SSD/13""3 FHD, IPS, Matt/WIN10 Pro",https://hardverapro.hu/apro/uj_dell_latitude_7330_i5-1245u_16gb_ddr4_512gb_nvm/hsz_1-50.html,269 900 Ft,Monor, 2024-01-09 20:38,Duke1986
6361932,"Lenovo ThinkPad T14 Gen2i : i5-1135G7/16GB/256GB NVMe SSD/14""FHD IPS/Win 11Pro/Gyári gari",https://hardverapro.hu/apro/lenovo_thinkpad_t14_i5-1135g7_16gb_256gb_nvme_ssd/hsz_1-50.html,219 900 Ft,Monor, 2023-12-23 11:21,Duke1986
6502959,"Lenovo ThinkPad X1 Yoga Gen 6 (i5 1135G7, 32 GB RAM, 512 GB SSD, garancia)",https://hardverapro.hu/apro/lenovo_thinkpad_x1_yoga_gen_6_i7_1135g7_32_gb_ram/hsz_1-50.html,319 000 Ft,Budapest, 2024-04-02 12:10,fronde
6540662,"HP Envy x360 15,6 IPS LED Gorilla Glass i7, 16GB, 1TB fémházas 3az1 notebook + HP toll - féláron",https://hardverapro.hu/apro/hp_envy_x360_convertible_15_6_ips_led_gorilla_glas/hsz_1-50.html,219 990 Ft,Miskolc, 2024-05-02 12:48,Meizubee
6513389,Lenovo Legion Y740-17IRH,https://hardverapro.hu/apro/lenovo_legion_y740-17irh/hsz_1-50.html,240 000 Ft,XVII. kerület, 2024-04-10 15:51,Hornetx
6372973,HD felbontású olcsó Lenovo Thinkapd T450 laptop leárazás! AkciÓÓ!,https://hardverapro.hu/apro/a_legolcsobb_acer_fhd_ryzen_cpu_notebook_kiarusita/hsz_1-50.html,49 992 Ft,V. kerület, 2024-01-02 15:57,parlamentpc
6502835,"14""-os 4.gen core i5 Dell notebook kiárusítás!AkciÓÓ!",https://hardverapro.hu/apro/14_os_4_gen_core_i5_dell_notebook_kiarusitas_akcio_5/hsz_1-50.html,44 990 Ft,V. kerület, 2024-04-02 11:02,parlamentpc
4034725,"Eladó Dell Latitude 5580, 5591, 5500, 5501, 5510, 5511, 5520, 5521, 7520 számlával, garanciával.",https://hardverapro.hu/apro/elado_dell_latitude_5580_5590/hsz_1-50.html,64 999 Ft,Budapest, 2018-09-26 10:51,somasz
6495531,"Új Lenovo Thinkpad L14 Gen 3, Intel Core i5 1235U, 16GB RAM, 512GB SSD, Win11Pro, Garancia 2026/10",https://hardverapro.hu/apro/uj_lenovo_thinkpad_l14_gen_3_intel_core_i5_1235u_1/hsz_1-50.html,250 000 Ft,Budapest, 2024-03-26 17:56,lucsikbe
6419410,Full HD Lenovo Thinkpad T480 Touch 4 magos Intel I5-8350U WIN11 képes 8/16Gb 256/512Gb M.2 SSD,https://hardverapro.hu/apro/full_hd_lenovo_thinkpad_l480_4_magos_intel_i5-8250/hsz_1-50.html,79 999 Ft,"Budapest, ...", 2024-02-01 23:26,univerzum78
6494353,"Eladó alig használt Dell Precision 3480, 0%-os számlával, gyári garanciával!",https://hardverapro.hu/apro/elado_alig_hasznalt_dell_precision_3480_0_os_szaml/hsz_1-50.html,360 000 Ft,VIII. kerület, 2024-03-25 20:47,somasz
6516250,4K UHD OLED 10. Generációs I7-es Lenovo X13 yoga Gen1 touch 16Gb/512Gb kifordítható ultrabook,https://hardverapro.hu/apro/4k_uhd_10_generacios_i7-es_lenovo_x13_yoga_gen1_to/hsz_1-50.html,120 000 Ft,"Budapest, ...", 2024-04-12 22:19,univerzum78
6506459,Laptop kijelző Cégeknek is! Digital Doctor Számítógép Szerviz,https://hardverapro.hu/apro/digital_doctor_szamitogep_szerviz_3/hsz_1-50.html,14 999 Ft,Budapest, 2024-04-04 21:46,wolf0914
6561062,AKCIÓ! Lenovo G5080 (i5-5200U/8GB RAM/250GB SSD),https://hardverapro.hu/apro/lenovo_g5080_i5-5200u_8gb_ram_250gb_ssd/hsz_1-50.html,55 000 Ft,Budapest, 2024-05-19 15:30,Tomme002
6563106,HP ProBook 455R G6 AMD Ryzen 5 Prémium Notebook 256GB Nvme + 1TB HDD,https://hardverapro.hu/apro/hp_probook_455r_g6_amd_ryzen_5_premium_notebook_25_2/hsz_1-50.html,119 990 Ft,Zalaegerszeg, 2024-05-21 09:11,SWiNEBoY
6549153,HP EliteBook 840 G10/ Vadonat új!,https://hardverapro.hu/apro/hp_elitebook_840_g10/hsz_1-50.html,215 000 Ft,"Budapest, ...", 2024-05-09 13:11,speed471
6563103,ÚJ Lenovo V15 G2 AMD Ryzen 5 Notebook 6 hónap garnciával!,https://hardverapro.hu/apro/uj_lenovo_v15_g2_amd_ryzen_5_notebook_6_honap_garn_2/hsz_1-50.html,119 989 Ft,Zalaegerszeg, 2024-05-21 09:09,SWiNEBoY
